student_id,dept_name,activity_year,grade,matched_keyword,news_origin_year,time_lag,section,context
202110903,컴퓨터과학과,2018,1,알파고,2016,2,세부능력 및 특기사항,수학 I : ... 알파고가 바둑을 두는 원리에 대해 설명하며...
202110903,컴퓨터과학과,2018,1,평창 올림픽,2018,0,진로활동,...평창 동계 올림픽 체험학습을 통해 VR 기술을 체험하고...
202110903,컴퓨터과학과,2020,3,코로나,2019,1,봉사활동,...코로나19 의료진 응원 캠페인 '덕분에 챌린지' 참여...
202110903,컴퓨터과학과,2020,3,클라우드,2020,0,진로활동,...서버 개발자 진로 탐색 중 클라우드 컴퓨팅 기술 연구...
202110491,경제금융,2019,2,일본 수출,2019,0,동아리활동,...일본 제품 불매 운동의 경제적 파급 효과 분석 토론...
202110491,경제금융,2019,2,미세먼지,2017,2,봉사활동,...미세먼지 예방 캠페인 피켓 제작 및 교내 홍보 활동...
202110491,경제금융,2020,3,코로나,2019,1,진로활동,...포스트 코로나 시대 유망 직업과 언택트 치안 서비스 탐구...
202010885,컴퓨터과학과,2018,2,미세먼지,2017,1,창의적체험활동,...세계시민교육 중 미세먼지의 심각성을 인지하고...
202010885,컴퓨터과학과,2018,2,드론,2024,-6,창의적체험활동,(제외 권장: 시차 음수) ...드론의 원리와 종류에 대해 학습...
202010885,컴퓨터과학과,2019,3,반도체,2021,-2,진로활동,(제외 권장: 시차 음수) ...반도체 공학 기술자 멘토링...
201910671,글로벌경영학과,2016,1,알파고,2016,0,세부능력 및 특기사항,...국어 I : '제4의 물결' 관련 알파고와 인공지능의 발달 언급...
201910671,글로벌경영학과,2017,2,4차산업혁명,2017,0,독서활동상황,...'4차 산업혁명 시대의 경제'를 읽고 미래 일자리 변화 예측...
201910671,글로벌경영학과,2018,3,남북회담,2018,0,동아리활동,...남북 정상회담 이후 통일 비용과 경제 협력 방안 토론...
202110937,컴퓨터과학과,2018,1,4차산업혁명,2017,1,진로활동,...4차 산업혁명 관련 진로 특강을 듣고 소프트웨어 분야 탐색...
202110937,컴퓨터과학과,2019,2,블랙홀,2019,0,동아리활동,...인터스텔라 영화 속 블랙홀 이론과 상대성 이론 탐구...
202110937,컴퓨터과학과,2020,3,코로나,2019,1,자율활동,...코로나19 확산 방지를 위한 교내 거리두기 캠페인 주도...
202210133,컴퓨터과학전공,2019,1,미세먼지,2017,2,기타,...아두이노를 활용한 미세먼지 측정 장치를 만들고...
202210931,컴퓨터과학과,2021,3,코로나,2019,2,진로활동,...코로나 시대에 방역수칙을 준수하면서 손 자주 씻기 등...
202210931,컴퓨터과학과,2021,3,코로나,2020,1,진로활동,...코로나 시대에 방역수칙을 준수하면서...
202210931,컴퓨터과학과,2021,3,코로나,2021,0,진로활동,...코로나 시대에 방역수칙을 준수하면서...
202210931,컴퓨터과학과,2021,3,플라스틱,2021,0,자율활동,...'제로웨이스트' 운동... 플라스틱 사용을 최소화하는 생활...
202211046,지능IoT융합,2019,1,미세먼지,2017,2,기타,...안전교육 및 미세먼지교육(2019.05.17)을 통해...
202211046,지능IoT융합,2020,1,코로나,2019,1,진로활동,...코로나 기간의 온라인 상황과 등교 상황이 반복되는...
202211046,지능IoT융합,2020,1,코로나,2020,0,진로활동,...코로나 기간의 온라인 상황과 등교 상황이 반복되는...
202211046,지능IoT융합,2021,3,코로나,2019,2,동아리활동,...요즘 코로나19로 인한 비대면 소통을 요구받는 상황...
202211046,지능IoT융합,2021,3,코로나,2020,1,동아리활동,...요즘 코로나19로 인한 비대면 소통을 요구받는 상황...
202211046,지능IoT융합,2021,3,코로나,2021,0,동아리활동,...요즘 코로나19로 인한 비대면 소통을 요구받는 상황...
202211062,지능IOT,2020,2,코로나,2019,1,독서활동상황,...코로나 19로 인해 급격하게 변화된 온라인 교육과정 수업...
202211062,지능IOT,2020,2,코로나,2020,0,독서활동상황,...코로나 19로 인해 급격하게 변화된 온라인 교육과정 수업...
